eventId,eventNumber,eventName_sv,eventName_en,eventDate,eventTime,eventTimestamp,eventHasFaceToFace,filmId,partyId,venueId,venueName,eventTicketStatus,eventBuyURL,eventBuyOneTimeURL,eventModifiedTimestamp
8097,426,"Happy New Year, Colin Burstead","Happy New Year, Colin Burstead",2018-11-10,19:15:00,1541873700,true,12444,NA,6,Sture 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8097,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8097,1541537197
8098,427,Blindspotting,Blindspotting,2018-11-10,20:45:00,1541879100,false,12481,NA,8,Sture 3,soldout,NA,NA,1541505232
8100,429,The Mountain,The Mountain,2018-11-10,21:15:00,1541880900,true,12461,NA,6,Sture 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8100,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8100,1541544270
8101,430,Girl,Girl,2018-11-10,21:15:00,1541880900,false,12403,NA,42,Zita 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8101,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8101,1541542794
8099,428,Climax,Climax,2018-11-10,21:20:00,1541881200,false,12467,NA,7,Sture 2,soldout,NA,NA,1541546800
8102,431,Boy Erased,Boy Erased,2018-11-10,21:30:00,1541881800,false,12455,NA,1,Skandia,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8102,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8102,1541545131
8103,501,Manto,Manto,2018-11-11,10:45:00,1541929500,false,12458,NA,7,Sture 2,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8103,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8103,1541423091
8104,502,Stockholm XXIX Short Film Competition: Identitet,Stockholm XXIX Short Film Competition: Identity,2018-11-11,10:45:00,1541929500,false,12535,NA,8,Sture 3,soldout,NA,NA,1541541862
8105,503,"Mirai, min lillasyser","Miraï, My Little Sister",2018-11-11,11:00:00,1541930400,false,12448,NA,1,Skandia,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8105,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8105,1541490669
8106,504,Studio 54,Studio 54,2018-11-11,11:00:00,1541930400,false,12498,NA,6,Sture 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8106,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8106,1541541750
8107,505,Prospect,Prospect,2018-11-11,11:30:00,1541932200,false,12474,NA,9,Klarabiografen,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8107,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8107,1541532951
8108,506,Lemonade,Lemonade,2018-11-11,12:00:00,1541934000,false,12484,NA,42,Zita 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8108,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8108,1541531863
8109,507,Narcissister Organ Player ,Narcissister Organ Player ,2018-11-11,12:45:00,1541936700,false,12495,NA,8,Sture 3,soldout,NA,NA,1539942642
8110,508,Life Itself,Life Itself,2018-11-11,13:00:00,1541937600,false,12456,NA,6,Sture 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8110,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8110,1541525801
8111,509,"Happy New Year, Colin Burstead","Happy New Year, Colin Burstead",2018-11-11,13:15:00,1541938500,false,12444,NA,7,Sture 2,soldout,NA,NA,1541085975
8112,510,Det vildväxande päronträdet,The Wild Pear Tree,2018-11-11,13:45:00,1541940300,false,12440,NA,42,Zita 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8112,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8112,1541545265
8113,511,Core of the World,Core of the World,2018-11-11,14:00:00,1541941200,false,12428,NA,9,Klarabiografen,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8113,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8113,1541539535
8114,512,Stockholm Achievement Award 2018 - Searching for Ingmar Bergman,Searching for Ingmar Bergman,2018-11-11,15:00:00,1541944800,true,12531,NA,1,Skandia,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8114,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8114,1541540735
8115,513,Los Silencios,Los Silencios,2018-11-11,15:00:00,1541944800,true,12430,NA,7,Sture 2,few,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8115,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8115,1541531863
8116,514,The Good Girls,The Good Girls,2018-11-11,15:00:00,1541944800,true,12453,NA,8,Sture 3,few,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8116,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8116,1541524035
8117,515,Ray & Liz,Ray & Liz,2018-11-11,15:15:00,1541945700,false,12432,NA,6,Sture 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8117,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8117,1541519048
8118,516,Thunder Road,Thunder Road,2018-11-11,16:30:00,1541950200,false,12393,NA,9,Klarabiografen,few,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8118,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8118,1541542196
8119,517,När fjärilarna kommer,Butterflies,2018-11-11,17:00:00,1541952000,false,12407,NA,33,Filmhuset Mauritz,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8119,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8119,1541536044
8120,518,Icebox,Icebox,2018-11-11,17:00:00,1541952000,true,12385,NA,7,Sture 2,soldout,NA,NA,1541305445
8121,519,Diane,Diane,2018-11-11,17:00:00,1541952000,false,12384,NA,8,Sture 3,few,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8121,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8121,1541358772
8122,520,Cold War,Cold War,2018-11-11,17:15:00,1541952900,false,12438,NA,6,Sture 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8122,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8122,1541544560
