Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Betyg per ämne årskurs 6
Valt läsår: 2018/19

;;;;;;Antal elever;Antal elever;Antal elever;Andel (%) med A-E;Andel (%) med A-E;Andel (%) med A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Ronneby;1081;Blekinge län;10;Kommunal;Svenska;257;128;129;94,2;~100;..;13,6;15,1;12,1;
Ronneby;1081;Blekinge län;10;Enskild;Svenska;52;26;26;~100;~100;~100;13,2;13,7;12,7;
Rättvik;2031;Dalarnas län;20;Samtliga;Svenska;100;52;48;92,0;~100;..;13,3;15,1;11,3;
Rättvik;2031;Dalarnas län;20;Kommunal;Svenska;100;52;48;92,0;~100;..;13,3;15,1;11,3;
Sala;1981;Västmanlands län;19;Samtliga;Svenska;206;97;109;92,7;~100;..;12,8;13,9;11,8;
Sala;1981;Västmanlands län;19;Kommunal;Svenska;206;97;109;92,7;~100;..;12,8;13,9;11,8;
Salem;0128;Stockholms län;01;Samtliga;Svenska;201;95;106;91,5;~100;..;12,9;14,5;11,4;
Salem;0128;Stockholms län;01;Kommunal;Svenska;179;87;92;91,1;~100;..;12,9;14,4;11,4;
Salem;0128;Stockholms län;01;Enskild;Svenska;22;..;..;~100;..;~100;12,8;..;11,6;
Sandviken;2181;Gävleborgs län;21;Samtliga;Svenska;371;196;175;90,6;94,4;86,3;13,1;14,3;11,8;
Sandviken;2181;Gävleborgs län;21;Kommunal;Svenska;350;186;164;90,3;94,1;86,0;13,1;14,3;11,7;
Sandviken;2181;Gävleborgs län;21;Enskild;Svenska;21;10;11;~100;100,0;~100;13,2;14,8;11,8;
Sigtuna;0191;Stockholms län;01;Samtliga;Svenska;427;206;221;96,5;96,6;96,4;14,2;14,8;13,6;
Sigtuna;0191;Stockholms län;01;Kommunal;Svenska;393;190;203;96,4;96,3;96,6;14,0;14,6;13,6;
Sigtuna;0191;Stockholms län;01;Enskild;Svenska;34;16;18;~100;100,0;~100;15,7;16,9;14,6;
Simrishamn;1291;Skåne län;12;Samtliga;Svenska;132;70;62;94,7;~100;..;13,1;14,2;11,9;
Simrishamn;1291;Skåne län;12;Kommunal;Svenska;95;49;46;94,7;~100;~100;13,2;14,5;11,8;
Simrishamn;1291;Skåne län;12;Enskild;Svenska;37;21;16;~100;~100;~100;13,0;13,6;12,2;
Sjöbo;1265;Skåne län;12;Samtliga;Svenska;172;92;80;81,4;89,1;72,5;11,7;13,8;9,3;
Sjöbo;1265;Skåne län;12;Kommunal;Svenska;163;89;74;80,4;88,8;70,3;11,6;13,7;9,0;
Sjöbo;1265;Skåne län;12;Enskild;Svenska;..;..;..;..;..;..;..;..;..;
Skara;1495;Västra Götalands län;14;Samtliga;Svenska;170;87;83;93,5;~100;..;13,8;15,1;12,3;
Skara;1495;Västra Götalands län;14;Kommunal;Svenska;152;78;74;92,8;~100;..;13,6;14,9;12,1;
Skara;1495;Västra Götalands län;14;Enskild;Svenska;18;..;..;100,0;..;..;15,4;..;..;
Skellefteå;2482;Västerbottens län;24;Samtliga;Svenska;711;332;379;93,2;95,8;91,0;13,0;14,5;11,8;
Skellefteå;2482;Västerbottens län;24;Kommunal;Svenska;685;326;359;93,4;95,7;91,4;13,1;14,5;11,9;
Skellefteå;2482;Västerbottens län;24;Enskild;Svenska;26;..;..;~100;..;~100;11,5;..;10,3;
Skinnskatteberg;1904;Västmanlands län;19;Samtliga;Svenska;33;18;15;~100;100,0;~100;13,4;14,9;11,7;
Skinnskatteberg;1904;Västmanlands län;19;Kommunal;Svenska;33;18;15;~100;100,0;~100;13,4;14,9;11,7;
Skurup;1264;Skåne län;12;Samtliga;Svenska;169;78;91;94,7;..;~100;13,1;13,8;12,4;
Skurup;1264;Skåne län;12;Kommunal;Svenska;164;78;86;94,5;..;~100;13,0;13,8;12,3;
Skurup;1264;Skåne län;12;Enskild;Svenska;..;..;..;..;.;..;..;.;..;
Skövde;1496;Västra Götalands län;14;Samtliga;Svenska;556;257;299;95,5;~100;..;13,9;15,4;12,7;
Skövde;1496;Västra Götalands län;14;Kommunal;Svenska;491;226;265;95,5;~100;..;14,0;15,4;12,8;
Skövde;1496;Västra Götalands län;14;Enskild;Svenska;65;31;34;~100;100,0;~100;13,6;15,5;11,8;
Smedjebacken;2061;Dalarnas län;20;Samtliga;Svenska;93;39;54;~100;100,0;~100;13,7;14,9;12,9;
Smedjebacken;2061;Dalarnas län;20;Kommunal;Svenska;93;39;54;~100;100,0;~100;13,7;14,9;12,9;
Sollefteå;2283;Västernorrlands län;22;Samtliga;Svenska;174;79;95;91,4;93,7;89,5;12,2;13,3;11,3;
Sollefteå;2283;Västernorrlands län;22;Kommunal;Svenska;174;79;95;91,4;93,7;89,5;12,2;13,3;11,3;
Sollentuna;0163;Stockholms län;01;Samtliga;Svenska;1 031;490;541;96,1;97,1;95,2;14,6;15,7;13,6;
Sollentuna;0163;Stockholms län;01;Kommunal;Svenska;757;367;390;95,5;96,7;94,4;14,6;15,7;13,6;
Sollentuna;0163;Stockholms län;01;Enskild;Svenska;274;123;151;97,8;~100;~100;14,5;15,6;13,5;
Solna;0184;Stockholms län;01;Samtliga;Svenska;464;212;252;89,9;92,9;87,3;13,3;14,6;12,2;
Solna;0184;Stockholms län;01;Kommunal;Svenska;351;163;188;91,5;94,5;88,8;13,4;14,5;12,3;
Solna;0184;Stockholms län;01;Enskild;Svenska;113;49;64;85,0;87,8;82,8;13,2;14,9;11,9;
Sorsele;2422;Västerbottens län;24;Samtliga;Svenska;16;..;..;100,0;..;..;14,2;..;..;
Sorsele;2422;Västerbottens län;24;Kommunal;Svenska;16;..;..;100,0;..;..;14,2;..;..;
Sotenäs;1427;Västra Götalands län;14;Samtliga;Svenska;56;27;29;87,5;100,0;75,9;12,1;15,3;9,1;
Sotenäs;1427;Västra Götalands län;14;Kommunal;Svenska;56;27;29;87,5;100,0;75,9;12,1;15,3;9,1;
Staffanstorp;1230;Skåne län;12;Samtliga;Svenska;285;145;140;96,5;~100;..;13,8;14,7;12,8;
Staffanstorp;1230;Skåne län;12;Kommunal;Svenska;275;143;132;96,4;~100;..;13,7;14,6;12,8;
Staffanstorp;1230;Skåne län;12;Enskild;Svenska;10;..;..;100,0;..;..;15,0;..;..;
Stenungsund;1415;Västra Götalands län;14;Samtliga;Svenska;340;161;179;93,2;~100;..;13,6;15,1;12,2;
Stenungsund;1415;Västra Götalands län;14;Kommunal;Svenska;320;149;171;93,4;~100;..;13,6;15,1;12,3;
Stenungsund;1415;Västra Götalands län;14;Enskild;Svenska;20;..;..;~100;100,0;..;12,8;14,6;..;
Stockholm;0180;Stockholms län;01;Samtliga;Svenska;8 667;4 331;4 336;96,3;97,9;94,7;14,5;15,5;13,5;
Stockholm;0180;Stockholms län;01;Kommunal;Svenska;5 819;2 805;3 014;95,9;97,7;94,3;14,5;15,5;13,5;
Stockholm;0180;Stockholms län;01;Enskild;Svenska;2 848;1 526;1 322;97,1;98,2;95,8;14,7;15,5;13,6;
Storfors;1760;Värmlands län;17;Samtliga;Svenska;34;14;20;100,0;100,0;100,0;14,0;15,2;13,3;
Storfors;1760;Värmlands län;17;Kommunal;Svenska;34;14;20;100,0;100,0;100,0;14,0;15,2;13,3;
Storuman;2421;Västerbottens län;24;Samtliga;Svenska;49;28;21;~100;~100;~100;13,2;14,1;11,9;
Storuman;2421;Västerbottens län;24;Kommunal;Svenska;49;28;21;~100;~100;~100;13,2;14,1;11,9;
Strängnäs;0486;Södermanlands län;04;Samtliga;Svenska;510;262;248;89,4;95,0;83,5;12,8;14,7;10,8;
Strängnäs;0486;Södermanlands län;04;Kommunal;Svenska;290;149;141;85,9;94,6;76,6;11,8;14,1;9,3;
Strängnäs;0486;Södermanlands län;04;Enskild;Svenska;220;113;107;94,1;95,6;92,5;14,0;15,4;12,6;
Strömstad;1486;Västra Götalands län;14;Samtliga;Svenska;125;65;60;100,0;100,0;100,0;13,8;14,7;12,9;
Strömstad;1486;Västra Götalands län;14;Kommunal;Svenska;125;65;60;100,0;100,0;100,0;13,8;14,7;12,9;
Strömsund;2313;Jämtlands län;23;Samtliga;Svenska;79;33;46;91,1;~100;..;12,9;14,5;11,7;
Strömsund;2313;Jämtlands län;23;Kommunal;Svenska;79;33;46;91,1;~100;..;12,9;14,5;11,7;
Sundbyberg;0183;Stockholms län;01;Samtliga;Svenska;411;217;194;95,9;~100;..;14,8;16,2;13,1;
Sundbyberg;0183;Stockholms län;01;Kommunal;Svenska;242;106;136;93,4;~100;..;13,9;15,4;12,7;
Sundbyberg;0183;Stockholms län;01;Enskild;Svenska;169;111;58;~100;100,0;~100;16,0;17,0;14,1;
Sundsvall;2281;Västernorrlands län;22;Samtliga;Svenska;1 145;575;570;94,1;97,9;90,4;13,0;14,4;11,7;
Sundsvall;2281;Västernorrlands län;22;Kommunal;Svenska;748;367;381;92,2;97,3;87,4;12,7;14,0;11,4;
Sundsvall;2281;Västernorrlands län;22;Enskild;Svenska;397;208;189;97,7;~100;..;13,7;15,0;12,2;
Sunne;1766;Värmlands län;17;Samtliga;Svenska;126;50;76;92,9;~100;..;13,0;14,3;12,1;
Sunne;1766;Värmlands län;17;Kommunal;Svenska;111;42;69;91,9;~100;..;12,3;13,3;11,7;
Sunne;1766;Värmlands län;17;Enskild;Svenska;15;..;..;100,0;..;..;17,8;..;..;
Surahammar;1907;Västmanlands län;19;Samtliga;Svenska;108;52;56;93,5;~100;..;13,4;14,7;12,1;
Surahammar;1907;Västmanlands län;19;Kommunal;Svenska;108;52;56;93,5;~100;..;13,4;14,7;12,1;
Svalöv;1214;Skåne län;12;Samtliga;Svenska;150;71;79;92,7;~100;..;13,0;14,1;12,0;
Svalöv;1214;Skåne län;12;Kommunal;Svenska;117;51;66;92,3;~100;..;13,1;14,7;11,9;
Svalöv;1214;Skåne län;12;Enskild;Svenska;33;20;13;~100;~100;~100;12,6;12,6;12,5;
Svedala;1263;Skåne län;12;Samtliga;Svenska;276;132;144;91,3;96,2;86,8;12,6;14,2;11,1;
Svedala;1263;Skåne län;12;Kommunal;Svenska;276;132;144;91,3;96,2;86,8;12,6;14,2;11,1;
Svenljunga;1465;Västra Götalands län;14;Samtliga;Svenska;106;56;50;~100;~100;~100;13,4;14,6;12,2;
Svenljunga;1465;Västra Götalands län;14;Kommunal;Svenska;106;56;50;~100;~100;~100;13,4;14,6;12,2;
Säffle;1785;Värmlands län;17;Samtliga;Svenska;136;67;69;91,2;~100;..;12,2;13,8;10,8;
Säffle;1785;Värmlands län;17;Kommunal;Svenska;122;63;59;91,0;~100;..;12,3;13,8;10,8;
Säffle;1785;Värmlands län;17;Enskild;Svenska;14;..;..;~100;..;..;11,8;..;10,8;
Säter;2082;Dalarnas län;20;Samtliga;Svenska;112;59;53;~100;~100;100,0;13,1;13,9;12,3;
Säter;2082;Dalarnas län;20;Kommunal;Svenska;112;59;53;~100;~100;100,0;13,1;13,9;12,3;
Sävsjö;0684;Jönköpings län;06;Samtliga;Svenska;101;48;53;~100;100,0;~100;14,0;15,1;13,0;
Sävsjö;0684;Jönköpings län;06;Kommunal;Svenska;92;43;49;~100;100,0;~100;13,9;15,2;12,8;
Sävsjö;0684;Jönköpings län;06;Enskild;Svenska;..;..;..;..;..;..;..;..;..;
Söderhamn;2182;Gävleborgs län;21;Samtliga;Svenska;220;106;114;89,1;~100;..;12,6;14,7;10,7;
Söderhamn;2182;Gävleborgs län;21;Kommunal;Svenska;207;100;107;89,4;~100;..;12,9;15,0;10,9;
Söderhamn;2182;Gävleborgs län;21;Enskild;Svenska;13;..;..;~100;..;..;9,4;..;..;
Söderköping;0582;Östergötlands län;05;Samtliga;Svenska;149;69;80;90,6;~100;..;13,1;15,2;11,3;
Söderköping;0582;Östergötlands län;05;Kommunal;Svenska;144;68;76;90,3;~100;..;13,1;15,3;11,2;
Söderköping;0582;Östergötlands län;05;Enskild;Svenska;..;..;..;..;..;..;..;..;..;
Södertälje;0181;Stockholms län;01;Samtliga;Svenska;743;364;379;93,8;96,7;91,0;13,5;14,7;12,3;
Södertälje;0181;Stockholms län;01;Kommunal;Svenska;517;257;260;93,2;95,7;90,8;13,1;14,3;12,0;
Södertälje;0181;Stockholms län;01;Enskild;Svenska;226;107;119;95,1;~100;..;14,3;15,6;13,1;
Sölvesborg;1083;Blekinge län;10;Samtliga;Svenska;174;82;92;92,0;93,9;90,2;11,9;13,0;10,8;
Sölvesborg;1083;Blekinge län;10;Kommunal;Svenska;174;82;92;92,0;93,9;90,2;11,9;13,0;10,8;
Tanum;1435;Västra Götalands län;14;Samtliga;Svenska;122;56;66;95,1;~100;..;13,3;14,7;12,0;
Tanum;1435;Västra Götalands län;14;Kommunal;Svenska;120;56;64;95,0;~100;..;13,2;14,7;11,9;
Tanum;1435;Västra Götalands län;14;Enskild;Svenska;..;..;..;..;.;..;..;.;..;
Tibro;1472;Västra Götalands län;14;Samtliga;Svenska;125;65;60;94,4;~100;~100;12,6;13,7;11,4;
Tibro;1472;Västra Götalands län;14;Kommunal;Svenska;125;65;60;94,4;~100;~100;12,6;13,7;11,4;
Tidaholm;1498;Västra Götalands län;14;Samtliga;Svenska;123;60;63;91,9;~100;..;13,4;14,9;11,9;
Tidaholm;1498;Västra Götalands län;14;Kommunal;Svenska;123;60;63;91,9;~100;..;13,4;14,9;11,9;
Tierp;0360;Uppsala län;03;Samtliga;Svenska;174;87;87;93,1;94,3;92,0;12,8;14,1;11,5;
Tierp;0360;Uppsala län;03;Kommunal;Svenska;174;87;87;93,1;94,3;92,0;12,8;14,1;11,5;
Timrå;2262;Västernorrlands län;22;Samtliga;Svenska;207;90;117;92,8;~100;..;12,0;13,3;11,0;
Timrå;2262;Västernorrlands län;22;Kommunal;Svenska;207;90;117;92,8;~100;..;12,0;13,3;11,0;
Tingsryd;0763;Kronobergs län;07;Samtliga;Svenska;139;64;75;95,7;~100;..;13,4;15,2;11,9;
Tingsryd;0763;Kronobergs län;07;Kommunal;Svenska;136;62;74;95,6;~100;..;13,4;15,1;11,9;
Tingsryd;0763;Kronobergs län;07;Enskild;Svenska;..;..;..;..;..;..;..;..;..;
Tjörn;1419;Västra Götalands län;14;Samtliga;Svenska;165;83;82;90,3;91,6;89,0;12,3;13,6;11,0;
Tjörn;1419;Västra Götalands län;14;Kommunal;Svenska;165;83;82;90,3;91,6;89,0;12,3;13,6;11,0;
Tomelilla;1270;Skåne län;12;Samtliga;Svenska;117;53;64;88,0;~100;..;11,6;13,3;10,3;
Tomelilla;1270;Skåne län;12;Kommunal;Svenska;97;42;55;86,6;~100;..;11,4;13,1;10,1;
Tomelilla;1270;Skåne län;12;Enskild;Svenska;20;..;..;~100;100,0;..;12,8;14,1;..;
Torsby;1737;Värmlands län;17;Samtliga;Svenska;81;44;37;92,6;~100;~100;12,8;14,0;11,4;
Torsby;1737;Värmlands län;17;Kommunal;Svenska;73;41;32;91,8;~100;~100;12,6;13,9;10,9;
Torsby;1737;Värmlands län;17;Enskild;Svenska;..;..;..;..;..;..;..;..;..;
Torsås;0834;Kalmar län;08;Samtliga;Svenska;82;40;42;92,7;~100;~100;13,0;14,3;11,8;
Torsås;0834;Kalmar län;08;Kommunal;Svenska;82;40;42;92,7;~100;~100;13,0;14,3;11,8;
Tranemo;1452;Västra Götalands län;14;Samtliga;Svenska;123;55;68;93,5;~100;..;13,6;15,7;11,9;
Tranemo;1452;Västra Götalands län;14;Kommunal;Svenska;123;55;68;93,5;~100;..;13,6;15,7;11,9;
Tranås;0687;Jönköpings län;06;Samtliga;Svenska;226;104;122;91,2;~100;..;13,1;14,6;11,9;
Tranås;0687;Jönköpings län;06;Kommunal;Svenska;212;97;115;90,6;~100;..;13,1;14,6;11,8;
Tranås;0687;Jönköpings län;06;Enskild;Svenska;14;..;..;100,0;..;..;13,6;..;..;
Trelleborg;1287;Skåne län;12;Samtliga;Svenska;438;220;218;90,2;93,2;87,2;12,7;14,0;11,3;
Trelleborg;1287;Skåne län;12;Kommunal;Svenska;392;197;195;90,1;93,9;86,2;12,6;14,2;11,0;
Trelleborg;1287;Skåne län;12;Enskild;Svenska;46;23;23;~100;~100;~100;13,4;13,0;13,8;
Trollhättan;1488;Västra Götalands län;14;Samtliga;Svenska;570;273;297;94,9;97,1;92,9;13,6;14,7;12,7;
Trollhättan;1488;Västra Götalands län;14;Kommunal;Svenska;460;228;232;94,1;96,9;91,4;13,4;14,5;12,3;
Trollhättan;1488;Västra Götalands län;14;Enskild;Svenska;110;45;65;~100;~100;~100;14,5;15,4;13,9;
Trosa;0488;Södermanlands län;04;Samtliga;Svenska;146;73;73;95,9;~100;..;14,2;15,6;12,8;
Trosa;0488;Södermanlands län;04;Kommunal;Svenska;146;73;73;95,9;~100;..;14,2;15,6;12,8;
Tyresö;0138;Stockholms län;01;Samtliga;Svenska;651;325;326;95,7;~100;..;14,2;15,6;12,8;
Tyresö;0138;Stockholms län;01;Kommunal;Svenska;484;247;237;94,8;~100;..;14,1;15,4;12,6;
Tyresö;0138;Stockholms län;01;Enskild;Svenska;167;78;89;~100;100,0;~100;14,5;15,9;13,3;
Täby;0160;Stockholms län;01;Samtliga;Svenska;1 265;644;621;96,7;98,6;94,7;14,9;16,1;13,7;
Täby;0160;Stockholms län;01;Kommunal;Svenska;496;239;257;97,4;~100;..;14,7;16,2;13,4;
Täby;0160;Stockholms län;01;Enskild;Svenska;769;405;364;96,2;98,0;94,2;15,0;16,1;13,9;
Töreboda;1473;Västra Götalands län;14;Samtliga;Svenska;82;36;46;84,1;86,1;82,6;11,0;12,0;10,2;
Töreboda;1473;Västra Götalands län;14;Kommunal;Svenska;65;29;36;80,0;82,8;77,8;10,5;11,8;9,4;
Töreboda;1473;Västra Götalands län;14;Enskild;Svenska;17;..;..;100,0;..;100,0;12,9;..;13,0;
Uddevalla;1485;Västra Götalands län;14;Samtliga;Svenska;536;255;281;94,0;98,0;90,4;13,2;14,7;11,9;
Uddevalla;1485;Västra Götalands län;14;Kommunal;Svenska;463;216;247;94,2;~100;..;13,2;14,7;12,0;
Uddevalla;1485;Västra Götalands län;14;Enskild;Svenska;73;39;34;93,2;~100;~100;13,2;14,9;11,2;
Ulricehamn;1491;Västra Götalands län;14;Samtliga;Svenska;242;114;128;93,4;~100;..;13,2;14,7;11,9;
Ulricehamn;1491;Västra Götalands län;14;Kommunal;Svenska;234;112;122;93,6;~100;..;13,2;14,7;11,8;
Ulricehamn;1491;Västra Götalands län;14;Enskild;Svenska;..;..;..;..;..;..;..;..;..;
Umeå;2480;Västerbottens län;24;Samtliga;Svenska;1 355;642;713;96,4;97,7;95,2;13,6;14,6;12,7;
Umeå;2480;Västerbottens län;24;Kommunal;Svenska;1 059;480;579;96,0;97,3;95,0;13,5;14,5;12,7;
Umeå;2480;Västerbottens län;24;Enskild;Svenska;296;162;134;97,6;~100;..;13,8;14,6;12,7;
Upplands Väsby;0114;Stockholms län;01;Samtliga;Svenska;435;195;240;92,6;94,9;90,8;12,7;13,9;11,8;
Upplands Väsby;0114;Stockholms län;01;Kommunal;Svenska;231;102;129;88,7;90,2;87,6;11,8;12,8;11,0;
Upplands Väsby;0114;Stockholms län;01;Enskild;Svenska;204;93;111;97,1;100,0;94,6;13,7;15,0;12,6;
Upplands-Bro;0139;Stockholms län;01;Samtliga;Svenska;274;140;134;94,2;96,4;91,8;13,2;14,4;11,9;
Upplands-Bro;0139;Stockholms län;01;Kommunal;Svenska;255;131;124;94,9;~100;..;13,3;14,6;12,0;
Upplands-Bro;0139;Stockholms län;01;Enskild;Svenska;19;..;..;~100;..;..;11,6;..;10,5;
Uppsala;0380;Uppsala län;03;Samtliga;Svenska;2 227;1 101;1 126;94,8;96,9;92,8;13,7;14,8;12,7;
Uppsala;0380;Uppsala län;03;Kommunal;Svenska;1 601;770;831;93,9;96,4;91,6;13,5;14,6;12,5;
Uppsala;0380;Uppsala län;03;Enskild;Svenska;626;331;295;97,3;98,2;96,3;14,3;15,2;13,2;
Uppvidinge;0760;Kronobergs län;07;Samtliga;Svenska;68;27;41;92,6;100,0;87,8;13,0;15,5;11,3;
Uppvidinge;0760;Kronobergs län;07;Kommunal;Svenska;67;26;41;92,5;100,0;87,8;12,9;15,5;11,3;
Uppvidinge;0760;Kronobergs län;07;Enskild;Svenska;..;..;..;..;..;.;..;..;.;
Vadstena;0584;Östergötlands län;05;Samtliga;Svenska;59;28;31;~100;~100;~100;13,6;14,6;12,6;
Vadstena;0584;Östergötlands län;05;Kommunal;Svenska;59;28;31;~100;~100;~100;13,6;14,6;12,6;
Vaggeryd;0665;Jönköpings län;06;Samtliga;Svenska;126;57;69;88,9;89,5;88,4;12,6;13,2;12,0;
Vaggeryd;0665;Jönköpings län;06;Kommunal;Svenska;117;51;66;88,0;88,2;87,9;12,4;12,9;11,9;
Vaggeryd;0665;Jönköpings län;06;Enskild;Svenska;..;..;..;..;..;..;..;..;..;
Valdemarsvik;0563;Östergötlands län;05;Samtliga;Svenska;60;34;26;90,0;~100;~100;12,4;13,5;10,9;
Valdemarsvik;0563;Östergötlands län;05;Kommunal;Svenska;50;30;20;90,0;~100;~100;12,5;13,4;11,0;
Valdemarsvik;0563;Östergötlands län;05;Enskild;Svenska;10;..;..;..;..;..;12,0;..;..;
Vallentuna;0115;Stockholms län;01;Samtliga;Svenska;411;192;219;93,9;~100;..;14,0;15,4;12,8;
Vallentuna;0115;Stockholms län;01;Kommunal;Svenska;301;147;154;93,7;~100;..;13,9;15,3;12,4;
Vallentuna;0115;Stockholms län;01;Enskild;Svenska;110;45;65;94,5;~100;~100;14,4;15,7;13,6;
Vansbro;2021;Dalarnas län;20;Samtliga;Svenska;71;28;43;78,9;~100;..;10,6;13,3;8,8;
Vansbro;2021;Dalarnas län;20;Kommunal;Svenska;69;28;41;79,7;~100;..;10,8;13,3;9,0;
Vansbro;2021;Dalarnas län;20;Enskild;Svenska;..;..;..;..;.;..;..;.;..;
Vara;1470;Västra Götalands län;14;Samtliga;Svenska;172;82;90;97,1;100,0;94,4;13,0;14,2;11,8;
Vara;1470;Västra Götalands län;14;Kommunal;Svenska;154;73;81;96,8;100,0;93,8;12,8;14,0;11,7;
Vara;1470;Västra Götalands län;14;Enskild;Svenska;18;..;..;100,0;..;..;14,4;..;..;
Varberg;1383;Hallands län;13;Samtliga;Svenska;722;348;374;91,4;93,1;89,8;12,9;13,9;12,0;
Varberg;1383;Hallands län;13;Kommunal;Svenska;665;319;346;93,1;95,3;91,0;13,1;14,1;12,1;
Varberg;1383;Hallands län;13;Enskild;Svenska;57;29;28;71,9;69,0;75,0;11,3;11,7;10,9;
Vaxholm;0187;Stockholms län;01;Samtliga;Svenska;190;99;91;~100;~100;~100;15,0;15,6;14,3;
Vaxholm;0187;Stockholms län;01;Kommunal;Svenska;178;93;85;~100;~100;~100;15,0;15,6;14,3;
Vaxholm;0187;Stockholms län;01;Enskild;Svenska;12;..;..;100,0;..;..;15,0;..;..;
Vellinge;1233;Skåne län;12;Samtliga;Svenska;533;279;254;96,8;100,0;93,3;14,3;15,7;12,8;
Vellinge;1233;Skåne län;12;Kommunal;Svenska;368;197;171;97,6;100,0;94,7;14,3;15,5;12,9;
Vellinge;1233;Skåne län;12;Enskild;Svenska;165;82;83;95,2;100,0;90,4;14,4;16,2;12,7;
Vetlanda;0685;Jönköpings län;06;Samtliga;Svenska;235;103;132;93,6;~100;..;13,4;14,9;12,2;
Vetlanda;0685;Jönköpings län;06;Kommunal;Svenska;227;100;127;93,4;~100;..;13,3;15,0;12,1;
Vetlanda;0685;Jönköpings län;06;Enskild;Svenska;..;..;..;..;..;..;..;..;..;
Vilhelmina;2462;Västerbottens län;24;Samtliga;Svenska;65;26;39;89,2;~100;..;11,5;12,4;10,8;
Vilhelmina;2462;Västerbottens län;24;Kommunal;Svenska;60;23;37;88,3;~100;..;11,4;12,5;10,7;
Vilhelmina;2462;Västerbottens län;24;Enskild;Svenska;..;..;..;..;..;..;..;..;..;
Vimmerby;0884;Kalmar län;08;Samtliga;Svenska;98;40;58;~100;100,0;~100;13,0;15,2;11,6;
Vimmerby;0884;Kalmar län;08;Kommunal;Svenska;98;40;58;~100;100,0;~100;13,0;15,2;11,6;
Vindeln;2404;Västerbottens län;24;Samtliga;Svenska;49;29;20;~100;100,0;~100;13,7;15,3;11,4;
Vindeln;2404;Västerbottens län;24;Kommunal;Svenska;49;29;20;~100;100,0;~100;13,7;15,3;11,4;
Vingåker;0428;Södermanlands län;04;Samtliga;Svenska;86;35;51;94,2;100,0;90,2;12,8;14,4;11,8;
Vingåker;0428;Södermanlands län;04;Kommunal;Svenska;86;35;51;94,2;100,0;90,2;12,8;14,4;11,8;
Vårgårda;1442;Västra Götalands län;14;Samtliga;Svenska;149;70;79;89,3;~100;..;13,6;15,9;11,6;
Vårgårda;1442;Västra Götalands län;14;Kommunal;Svenska;149;70;79;89,3;~100;..;13,6;15,9;11,6;
Vänersborg;1487;Västra Götalands län;14;Samtliga;Svenska;377;187;190;94,7;~100;..;13,6;14,9;12,3;
Vänersborg;1487;Västra Götalands län;14;Kommunal;Svenska;306;154;152;94,1;~100;..;13,4;14,7;12,0;
Vänersborg;1487;Västra Götalands län;14;Enskild;Svenska;71;33;38;~100;100,0;~100;14,3;15,5;13,3;
Vännäs;2460;Västerbottens län;24;Samtliga;Svenska;100;45;55;95,0;100,0;90,9;13,6;15,3;12,2;
Vännäs;2460;Västerbottens län;24;Kommunal;Svenska;81;36;45;93,8;100,0;88,9;13,6;15,3;12,2;
Vännäs;2460;Västerbottens län;24;Enskild;Svenska;19;..;..;100,0;..;100,0;13,7;..;12,3;
Värmdö;0120;Stockholms län;01;Samtliga;Svenska;517;232;285;93,0;95,3;91,2;13,7;15,0;12,7;
Värmdö;0120;Stockholms län;01;Kommunal;Svenska;465;202;263;92,5;95,0;90,5;13,6;14,9;12,6;
Värmdö;0120;Stockholms län;01;Enskild;Svenska;52;30;22;~100;~100;100,0;14,9;15,8;13,8;
Värnamo;0683;Jönköpings län;06;Samtliga;Svenska;323;144;179;91,3;93,1;89,9;12,6;13,7;11,7;
Värnamo;0683;Jönköpings län;06;Kommunal;Svenska;323;144;179;91,3;93,1;89,9;12,6;13,7;11,7;
Västervik;0883;Kalmar län;08;Samtliga;Svenska;314;155;159;93,3;94,8;91,8;13,3;14,5;12,2;
Västervik;0883;Kalmar län;08;Kommunal;Svenska;312;154;158;93,3;94,8;91,8;13,3;14,5;12,2;
Västervik;0883;Kalmar län;08;Enskild;Svenska;..;..;..;..;..;..;..;..;..;
Västerås;1980;Västmanlands län;19;Samtliga;Svenska;1 523;758;765;92,9;95,8;90,1;13,2;14,4;11,9;
Västerås;1980;Västmanlands län;19;Kommunal;Svenska;976;456;520;92,3;95,4;89,6;13,0;14,4;11,8;
Västerås;1980;Västmanlands län;19;Enskild;Svenska;547;302;245;94,0;96,4;91,0;13,4;14,5;12,0;
Växjö;0780;Kronobergs län;07;Samtliga;Svenska;1 028;484;544;96,5;97,5;95,6;13,7;14,9;12,6;
Växjö;0780;Kronobergs län;07;Kommunal;Svenska;907;430;477;96,6;97,4;95,8;13,7;14,8;12,7;
Växjö;0780;Kronobergs län;07;Enskild;Svenska;121;54;67;95,9;~100;~100;13,4;15,4;11,8;
Ydre;0512;Östergötlands län;05;Samtliga;Svenska;29;16;13;~100;~100;~100;13,8;16,1;11,0;
Ydre;0512;Östergötlands län;05;Kommunal;Svenska;29;16;13;~100;~100;~100;13,8;16,1;11,0;
Ystad;1286;Skåne län;12;Samtliga;Svenska;354;189;165;94,1;~100;..;13,7;15,2;12,0;
